Model,MSE,RMSE,MAE,R2_Score,Directional_Accuracy
LSTM,0.000543922854135412,0.02092901568913326,0.01525078025126036,-0.02659139496412211,0.5065998329156224
GRU,0.000549901997906997,0.021007487219948138,0.015339328609183097,-0.03386527332693773,0.5028822055137844
Stacked_Ensemble,0.0005631624227916164,0.02125699336573172,0.015556371789308807,-0.05915776121609279,0.49611528822055134
Transformer,0.0006195184233719341,0.022045086042164035,0.016308048856482932,-0.2190645468541801,0.5031746031746032
XGBoost,0.000601882168510793,0.022116865772895435,0.016333077912936086,-0.20989582470798154,0.4934419381787803
Ridge_Regression,0.0006210243909856646,0.02238997634483133,0.016652323616505312,-0.18678356350405204,0.4942773600668337
Random_Forest,0.0006846697411057613,0.02324267579858931,0.017208578550897243,-0.5835658205810001,0.49402673350041765
Naive,0.0010763457680636281,0.02932642011418913,0.021969769891236172,-1.0156734173864812,0.5056390977443609
