MSE,RMSE,MAE,R2_Score,Directional_Accuracy,Model,Fold,Stock
0.0004732874475808,0.0217551705941556,0.0164355891402114,-1.0310089441992751,0.5238095238095238,Naive,0,AAPL
0.000229101817917,0.0151361097352347,0.0111786942242354,0.0168599575157202,0.6507936507936508,Ridge_Regression,0,AAPL
0.0002395829608146,0.0154784676507288,0.0116794273711071,-0.0281175610710351,0.6031746031746031,Random_Forest,0,AAPL
0.0002501690964479,0.0158167346961373,0.0120082928768879,-0.0735456328817418,0.6349206349206349,XGBoost,0,AAPL
0.0002340351949455,0.0152982088803089,0.0118114394151611,-0.0043105445147071,0.5714285714285714,LSTM,0,AAPL
0.0002409738081263,0.0155233310898902,0.0120289748859782,-0.034086076282042,0.4126984126984127,GRU,0,AAPL
0.0002335703184556,0.0152830075068904,0.0118535039167694,-0.0023156293447672,0.5714285714285714,Transformer,0,AAPL
0.000230225955753,0.015173198599935,0.0115619918524567,0.0120359673357415,0.6190476190476191,Stacked_Ensemble,0,AAPL
0.0005314686885796,0.0230536046764848,0.0177732459938388,-0.5286825076708033,0.6190476190476191,Naive,1,AAPL
0.0004205097889661,0.0205063353373082,0.0159480812830649,-0.2095274331491323,0.5079365079365079,Ridge_Regression,1,AAPL
0.0003922443405262,0.0198051594420805,0.0154840436822161,-0.1282265069985746,0.492063492063492,Random_Forest,1,AAPL
0.0003653898311698,0.0191151727998949,0.0148607540973358,-0.0509839156901223,0.5714285714285714,XGBoost,1,AAPL
0.0003474099498976,0.0186389363939475,0.0147862092071296,0.0007322636097299,0.4444444444444444,LSTM,1,AAPL
0.0003617507300702,0.0190197457940502,0.0154074308225392,-0.04051663828682,0.4603174603174603,GRU,1,AAPL
0.000360373157984,0.0189834969903867,0.01537775474011,-0.0365542781392032,0.4126984126984127,Transformer,1,AAPL
0.0003529325167024,0.0187864982554609,0.0148546389690888,-0.0151524939561891,0.5396825396825397,Stacked_Ensemble,1,AAPL
0.0014334233681652,0.0378605780220706,0.0312893368128362,-1.2545120113889308,0.4285714285714285,Naive,2,AAPL
0.0007516838671985,0.0274168537071362,0.0214011482786848,-0.1822608344493674,0.5238095238095238,Ridge_Regression,2,AAPL
0.0007133762270037,0.0267091038225503,0.0214849965331707,-0.1220099435645996,0.3968253968253968,Random_Forest,2,AAPL
0.0007575002292748,0.0275227220542379,0.0212446239969201,-0.1914089050437792,0.4603174603174603,XGBoost,2,AAPL
0.0006506871338057,0.0255085698110604,0.0202058904693983,-0.023411499631786,0.5079365079365079,LSTM,2,AAPL
0.0006446683810946,0.0253903206181922,0.0200868863262411,-0.013945105695273,0.5555555555555556,GRU,2,AAPL
0.000642307522294,0.0253437866605221,0.020742982529631,-0.0102319078772257,0.5079365079365079,Transformer,2,AAPL
0.000681586561266,0.0261072128207136,0.0205293681872599,-0.0720106308454964,0.4603174603174603,Stacked_Ensemble,2,AAPL
0.0007672268695453,0.0276988604376677,0.0213304728734891,-1.278141136219762,0.4603174603174603,Naive,3,AAPL
0.0004039193583612,0.0200977451063849,0.0158420289511924,-0.1993653279419491,0.5396825396825397,Ridge_Regression,3,AAPL
0.0003315322740647,0.0182080277368183,0.0141839389493776,0.015574999375467,0.5555555555555556,Random_Forest,3,AAPL
0.0003599536528752,0.0189724445677212,0.0148946858900437,-0.0688171338858054,0.4444444444444444,XGBoost,3,AAPL
0.0003368212152539,0.0183526895918276,0.0145117195442695,-0.000129552913449,0.4761904761904761,LSTM,3,AAPL
0.0003372675694861,0.018364846024024,0.0145503769907205,-0.001454920908122,0.4761904761904761,GRU,3,AAPL
0.0003494069486529,0.0186924302500489,0.0148977656825505,-0.0375006071919132,0.4761904761904761,Transformer,3,AAPL
0.0003367300175742,0.018350204837392,0.0144939697458798,0.0001412420677663,0.4761904761904761,Stacked_Ensemble,3,AAPL
0.0013090693168463,0.0361810629590439,0.026653886009488,-1.0188512143926411,0.492063492063492,Naive,4,AAPL
0.0007020774832703,0.0264967447674295,0.0214070144867586,-0.0827463156134729,0.3492063492063492,Ridge_Regression,4,AAPL
0.0006646478884062,0.0257807658615145,0.0196815734858771,-0.0250222653488216,0.4444444444444444,Random_Forest,4,AAPL
0.0006173320450512,0.024846167612959,0.0193676051994292,0.04794839142842,0.5238095238095238,XGBoost,4,AAPL
0.0006598142766042,0.0256868502663182,0.0193953979904677,-0.0175678525604696,0.4603174603174603,LSTM,4,AAPL
0.0006730174300074,0.0259425794786762,0.0197860817004246,-0.0379298012661704,0.4603174603174603,GRU,4,AAPL
0.000661347673619,0.0257166808437447,0.0194368556799827,-0.0199326627241391,0.4603174603174603,Transformer,4,AAPL
0.0006443531118139,0.0253841114048513,0.0193380031049705,0.006276409092625,0.5873015873015873,Stacked_Ensemble,4,AAPL
0.0005383474669631,0.0232023159827448,0.0193391022766195,-1.1385537666988168,0.4603174603174603,Naive,5,AAPL
0.0003448956750985,0.0185713670767263,0.015034219072015,-0.3700778593067397,0.4761904761904761,Ridge_Regression,5,AAPL
0.0002581078250753,0.0160657345015816,0.0132541406044593,-0.02531821064004,0.6031746031746031,Random_Forest,5,AAPL
0.0002548312201266,0.0159634338450923,0.0129537449817126,-0.0123020894822811,0.6190476190476191,XGBoost,5,AAPL
